gene_list,GO
ZFP36L1,GO:0007498
BTK,GO:0007498
EPHA2,GO:0007498
ETS2,GO:0007498
ETV2,GO:0007498
EXT1,GO:0007498
EXT2,GO:0007498
EYA1,GO:0007498
EYA2,GO:0007498
FGF8,GO:0007498
FGFR1,GO:0007498
FGFR2,GO:0007498
FOXF1,GO:0007498
FOXC1,GO:0007498
FOXC2,GO:0007498
GJA1,GO:0007498
HCK,GO:0007498
TLX2,GO:0007498
HOXA11,GO:0007498
INHBA,GO:0007498
ITGA2,GO:0007498
ITGA3,GO:0007498
ITGB1,GO:0007498
ITGB3,GO:0007498
ITGB4,GO:0007498
JAK2,GO:0007498
LHX1,GO:0007498
SMAD1,GO:0007498
SMAD2,GO:0007498
SMAD3,GO:0007498
SMAD4,GO:0007498
MEST,GO:0007498
NF2,GO:0007498
NODAL,GO:0007498
OVOL1,GO:0007498
PAX2,GO:0007498
POU4F1,GO:0007498
PPP2CA,GO:0007498
PRKACA,GO:0007498
PRKAR1A,GO:0007498
RPL38,GO:0007498
SECTM1,GO:0007498
SFRP2,GO:0007498
SHH,GO:0007498
SMO,GO:0007498
SNAI1,GO:0007498
SRF,GO:0007498
TBXT,GO:0007498
TAL1,GO:0007498
TBX1,GO:0007498
TBX6,GO:0007498
TBX3,GO:0007498
TCF15,GO:0007498
TIE1,GO:0007498
TSPY1,GO:0007498
TXNRD1,GO:0007498
KDM6A,GO:0007498
VEGFA,GO:0007498
WNT3,GO:0007498
WNT5A,GO:0007498
WNT11,GO:0007498
NR4A3,GO:0007498
HMGA2,GO:0007498
EOMES,GO:0007498
TEAD2,GO:0007498
ITGA8,GO:0007498
TP63,GO:0007498
CHRD,GO:0007498
FOXH1,GO:0007498
TBX19,GO:0007498
NOG,GO:0007498
KLF4,GO:0007498
CER1,GO:0007498
LHX2,GO:0007498
HAND1,GO:0007498
GDF3,GO:0007498
GDF11,GO:0007498
IKZF1,GO:0007498
CITED2,GO:0007498
YAP1,GO:0007498
DLL3,GO:0007498
SIX2,GO:0007498
IKZF3,GO:0007498
DKK1,GO:0007498
KDM6B,GO:0007498
MESD,GO:0007498
POFUT2,GO:0007498
CTDNEP1,GO:0007498
ZFPM2,GO:0007498
SSBP3,GO:0007498
RPS6KA6,GO:0007498
SETD2,GO:0007498
LEF1,GO:0007498
PUS7,GO:0007498
NUP133,GO:0007498
MESP1,GO:0007498
POGLUT1,GO:0007498
TWSG1,GO:0007498
TBX20,GO:0007498
EPB41L5,GO:0007498
EXOC4,GO:0007498
TSPY2,GO:0007498
IRX3,GO:0007498
PALB2,GO:0007498
WLS,GO:0007498
MIXL1,GO:0007498
HES7,GO:0007498
WNT3A,GO:0007498
TRIM15,GO:0007498
OSR1,GO:0007498
MESP2,GO:0007498
DAND5,GO:0007498
CRB2,GO:0007498
MSGN1,GO:0007498
MIR1-1,GO:0007498
MIR1-2,GO:0007498
MIR145,GO:0007498
MIR150,GO:0007498
MIR200C,GO:0007498
SCX,GO:0007498
TSPY3,GO:0007498
TSPY4,GO:0007498
TSPY8,GO:0007498
TSPY10,GO:0007498
APELA,GO:0007498
BMPR1A,GO:0007398
CTNNB1,GO:0007398
ELF5,GO:0007398
STX2,GO:0007398
ETS2,GO:0007398
ITGA6,GO:0007398
ITGAM,GO:0007398
KRT6B,GO:0007398
LHX1,GO:0007398
NF2,GO:0007398
VPS52,GO:0007398
SHH,GO:0007398
ZBTB17,GO:0007398
FZD7,GO:0007398
VAX2,GO:0007398
ZBTB7B,GO:0007398
SMURF1,GO:0007398
EPB41L5,GO:0007398
GRHL3,GO:0007398
EDA2R,GO:0007398
AMER2,GO:0007398
MIR145,GO:0007398
